Station,Exit,latitude,longitude
SPRINGLEAF MRT STATION,Exit 2,42189.4436,26338.717
SPRINGLEAF MRT STATION,Exit 3,42174.3365,26304.3312
WOODLANDS NORTH MRT STATION,Exit 1,47731.036,22670.6557
WOODLANDS NORTH MRT STATION,Exit 2,47853.8632,22634.2896
WOODLANDS MRT STATION,Exit 5,46393.8923,23064.0469
WOODLANDS MRT STATION,Exit 7,46244.794,22954.1436
WOODLANDS SOUTH MRT STATION,Exit 1,45449.3613,23516.1955
WOODLANDS SOUTH MRT STATION,Exit 2,45482.8589,23559.1777
WOODLANDS SOUTH MRT STATION,Exit 3,45463.1518,23686.7998
WOODLANDS SOUTH MRT STATION,Exit 4,45381.048,23671.5895
SPRINGLEAF MRT STATION,Exit 1,42296.3084,26295.6284
LENTOR MRT STATION,Exit 2,40870.3001,28278.7602
LENTOR MRT STATION,Exit 1,40817.0958,28227.1814
LENTOR MRT STATION,Exit 3,40727.7653,28453.9963
LENTOR MRT STATION,Exit 4,40620.0429,28447.3838
LENTOR MRT STATION,Exit 5,40679.1588,28391.8372
MAYFLOWER MRT STATION,Exit 3,39503.7162,28461.0052
MAYFLOWER MRT STATION,Exit 2,39524.4676,28413.2222
MAYFLOWER MRT STATION,Exit 1,39412.1468,28378.175
MAYFLOWER MRT STATION,Exit 7,39265.4509,28330.1229
MAYFLOWER MRT STATION,Exit 4,39254.2846,28386.9922
MAYFLOWER MRT STATION,Exit 5,39199.1094,28383.0247
MAYFLOWER MRT STATION,Exit 6,39212.2463,28332.768
BRIGHT HILL MRT STATION,Exit 1,38453.817,28035.26
BRIGHT HILL MRT STATION,Exit 2,38370.3971,28021.3732
BRIGHT HILL MRT STATION,Exit 4,38357.2602,27848.1195
BRIGHT HILL MRT STATION,Exit 3,38248.88,27895.0699
UPPER THOMSON MRT STATION,Exit 2,37535.9782,27834.6731
UPPER THOMSON MRT STATION,Exit 1,37436.1368,27843.9309
UPPER THOMSON MRT STATION,Exit 5,37390.1572,27923.9453
UPPER THOMSON MRT STATION,Exit 3,37359.942,28067.4422
UPPER THOMSON MRT STATION,Exit 4,37289.002,28052.8942
CALDECOTT MRT STATION,Exit 2,35603.4791,28786.6954
CALDECOTT MRT STATION,Exit 3,35556.1855,28795.2922
CALDECOTT MRT STATION,Exit 4,35436.6375,28730.487
CANBERRA MRT STATION,Exit D,47241.6677,27547.7475
CANBERRA MRT STATION,Exit A,47254.8042,27578.1651
CANBERRA MRT STATION,Exit C,47163.5051,27597.3412
CANBERRA MRT STATION,Exit B,47177.9553,27626.4363
CANBERRA MRT STATION,Exit E,47213.4239,27643.6289
WOODLANDS MRT STATION,Exit 2,46485.5842,22790.7061
WOODLANDS MRT STATION,Exit 3,46548.6385,22857.494
WOODLANDS MRT STATION,Exit 4,46581.478,22957.3438
WOODLANDS MRT STATION,Exit 1,46488.2133,22704.7432
WOODLANDS MRT STATION,Exit 6,46280.1368,23077.931
WOODLANDS SOUTH MRT STATION,Exit 5,45288.0707,23665.0643
FERNVALE LRT STATION,Exit A,41563.3472,32779.0001
BUKIT PANJANG LRT STATION,Exit C,39989.9014,20143.5384
BUKIT PANJANG LRT STATION,Exit D,40000.5342,20202.4464
TANAH MERAH MRT STATION,Exit B,34365.4944,40509.4819
TANAH MERAH MRT STATION,Exit A,34342.9897,40517.4609
CLEMENTI MRT STATION,Exit A,33072.9466,20394.8076
